,Date,Ship to,seq01,seq02,seq03,seq04,seq05,seq06,seq07
0,2021-04-29,30000001,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189
0,2021-04-28,30000001,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189
0,2021-04-27,30000001,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189
0,2021-04-26,30000001,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189
0,2021-04-25,30000001,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189
0,2021-04-24,30000001,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189
0,2021-04-23,30000001,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189
0,2021-04-22,30000001,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189
0,2021-04-21,30000001,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189
0,2021-04-20,30000001,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189
0,2021-04-19,30000001,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189
0,2021-04-18,30000001,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189
0,2021-04-17,30000001,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189
0,2021-04-16,30000001,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189
0,2021-04-15,30000001,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189
0,2021-04-14,30000001,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189
0,2021-04-13,30000001,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189
0,2021-04-12,30000001,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189
0,2021-04-11,30000001,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189
0,2021-04-10,30000001,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189
0,2021-04-09,30000001,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189
0,2021-04-08,30000001,0.29189,0.29189,0.29189,0.29189,0.29189,0.29189,0.28443
0,2021-04-07,30000001,0.29189,0.29189,0.29189,0.29189,0.29189,0.28443,0.28443
0,2021-04-06,30000001,0.29189,0.29189,0.29189,0.29189,0.28443,0.28443,0.28443
0,2021-04-05,30000001,0.29189,0.29189,0.29189,0.28443,0.28443,0.28443,0.28443
0,2021-04-04,30000001,0.29189,0.29189,0.28443,0.28443,0.28443,0.28443,0.28443
0,2021-04-03,30000001,0.29189,0.28443,0.28443,0.28443,0.28443,0.28443,0.28443
